"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-11-19 ~ 2025-11-18"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 영등포구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 500 ~ 3000 만원"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"15","서울특별시 영등포구 대림동","1***","8m미만","24.00","월세","202511","08","1,000","52","2014","디지털로","202512~202712","신규","-","","","단독다가구"
"16","서울특별시 영등포구 신길동","4***","8m미만","17.93","월세","202511","08","1,000","50","2018","신길로16길","202512~202712","신규","-","","","단독다가구"
"17","서울특별시 영등포구 대림동","7**","12m미만","15.00","월세","202511","08","500","47","2017","대림로27나길","202511~202711","신규","-","","","단독다가구"
"18","서울특별시 영등포구 신길동","4**","8m미만","179.50","월세","202511","08","1,000","35","1979","여의대방로47라길","202511~202711","신규","-","","","단독다가구"
"19","서울특별시 영등포구 신길동","6*","8m미만","210.97","월세","202511","08","1,000","60","2001","영등포로65길","202511~202711","신규","-","","","단독다가구"
"20","서울특별시 영등포구 신길동","9*","8m미만","170.48","월세","202511","08","500","30","1987","도신로64가길","202511~202711","신규","-","","","단독다가구"
"21","서울특별시 영등포구 영등포동","6**","8m미만","10.00","전세","202511","07","2,000","0","1991","영신로","202511~202711","신규","-","","","단독다가구"
"22","서울특별시 영등포구 신길동","6*","8m미만","183.60","월세","202511","07","500","45","1993","영등포로67가길","202511~202711","신규","-","","","단독다가구"
"23","서울특별시 영등포구 당산동2가","6*","8m미만","45.36","월세","202511","07","2,000","80","1993","선유동1로","202511~202711","신규","-","","","단독다가구"
"24","서울특별시 영등포구 대림동","8**","8m미만","46.28","월세","202511","07","1,000","80","","대림로29길","202511~202711","신규","-","","","단독다가구"
"25","서울특별시 영등포구 신길동","1***","8m미만","28.94","월세","202511","06","500","45","2011","여의대방로47가길","202511~202711","신규","-","","","단독다가구"
"26","서울특별시 영등포구 신길동","3**","12m미만","60.00","월세","202511","06","3,000","55","1997","가마산로61길","202512~202712","신규","-","","","단독다가구"
"27","서울특별시 영등포구 신길동","4**","8m미만","35.00","월세","202511","06","1,000","35","1990","신길로17길","202512~202712","신규","-","","","단독다가구"
"28","서울특별시 영등포구 대림동","8**","8m미만","196.65","월세","202511","06","1,500","65","1993","대림로22나길","202511~202711","신규","-","","","단독다가구"
"29","서울특별시 영등포구 신길동","4**","8m미만","32.05","월세","202511","06","500","33","2006","도림로81길","202511~202711","신규","-","","","단독다가구"
"30","서울특별시 영등포구 대림동","9**","8m미만","17.00","월세","202511","05","500","33","2017","대림로8길","202511~202711","신규","-","","","단독다가구"
"31","서울특별시 영등포구 대림동","9**","8m미만","13.22","월세","202511","05","1,000","35","2017","디지털로81길","202512~202712","신규","-","","","단독다가구"
"32","서울특별시 영등포구 대림동","8**","8m미만","14.27","월세","202511","05","500","50","2013","대림로16길","202511~202711","신규","-","","","단독다가구"
"33","서울특별시 영등포구 양평동2가","3*","8m미만","16.00","월세","202511","04","1,000","38","1994","선유서로25길","202511~202611","신규","-","","","단독다가구"
"34","서울특별시 영등포구 당산동1가","2**","8m미만","29.00","월세","202511","04","1,000","50","1988","영신로47길","202512~202712","신규","-","","","단독다가구"
"35","서울특별시 영등포구 신길동","8*","8m미만","176.79","월세","202511","04","500","50","1997","여의대방로53나길","202511~202711","신규","-","","","단독다가구"
"36","서울특별시 영등포구 도림동","2*","8m미만","37.00","월세","202511","04","1,000","35","1994","영신로1길","202511~202711","신규","-","","","단독다가구"
"37","서울특별시 영등포구 도림동","2**","8m미만","39.30","월세","202511","04","1,000","45","1993","도림로113나길","202512~202712","신규","-","","","단독다가구"
"38","서울특별시 영등포구 대림동","7**","8m미만","18.00","월세","202511","04","500","40","2018","도림로58길","202511~202611","신규","-","","","단독다가구"
"39","서울특별시 영등포구 당산동1가","1**","8m미만","35.00","월세","202511","03","2,000","65","1998","당산로16길","202511~202711","신규","-","","","단독다가구"
"40","서울특별시 영등포구 신길동","4***","8m미만","30.00","월세","202511","03","1,000","50","1996","신풍로18길","202511~202711","신규","-","","","단독다가구"
"41","서울특별시 영등포구 대림동","9**","8m미만","16.50","월세","202511","03","500","35","2011","대림로8가길","202511~202611","신규","-","","","단독다가구"
"42","서울특별시 영등포구 대림동","1***","8m미만","33.00","월세","202511","03","1,000","60","1991","디지털로56길","202512~202712","신규","-","","","단독다가구"
"43","서울특별시 영등포구 신길동","2**","8m미만","44.88","월세","202511","03","1,000","40","2005","도신로","202512~202712","신규","-","","","단독다가구"
"44","서울특별시 영등포구 대림동","9**","8m미만","25.00","월세","202511","02","2,000","90","2025","시흥대로175길","202511~202711","신규","-","","","단독다가구"
"45","서울특별시 영등포구 신길동","4***","8m미만","40.00","월세","202511","02","500","35","1980","신길로38가길","202511~202711","신규","-","","","단독다가구"
"46","서울특별시 영등포구 당산동3가","4**","8m미만","19.52","월세","202511","02","3,000","58","2019","양산로17길","202511~202611","신규","-","","","단독다가구"
"47","서울특별시 영등포구 대림동","8**","8m미만","24.00","월세","202511","01","1,000","60","1991","대림로17길","202511~202711","신규","-","","","단독다가구"
"48","서울특별시 영등포구 당산동6가","3**","8m미만","42.64","월세","202511","01","2,000","120","1966","양평로","202511~202711","신규","-","","","단독다가구"
"49","서울특별시 영등포구 대림동","1***","8m미만","25.00","월세","202511","01","500","31","1993","대림로7가길","202511~202710","신규","-","","","단독다가구"
"50","서울특별시 영등포구 당산동1가","3**","8m미만","18.02","월세","202511","01","2,000","50","2015","당산로20길","202511~202711","신규","-","","","단독다가구"
"51","서울특별시 영등포구 신길동","2**","8m미만","24.85","월세","202511","01","500","58","2017","도신로","202511~202611","신규","-","","","단독다가구"
"52","서울특별시 영등포구 양평동3가","3*","8m미만","18.11","월세","202511","01","1,000","60","2016","양산로1길","202511~202610","신규","-","","","단독다가구"
"53","서울특별시 영등포구 대림동","8**","8m미만","27.00","월세","202510","31","500","40","2010","디지털로64길","202511~202711","신규","-","","","단독다가구"
"54","서울특별시 영등포구 신길동","6**","12m미만","18.00","월세","202510","31","500","52","2015","여의대방로35길","202511~202710","신규","-","","","단독다가구"
"55","서울특별시 영등포구 신길동","4*","8m미만","15.40","월세","202510","31","1,000","45","2017","영등포로60길","202510~202710","신규","-","","","단독다가구"
"56","서울특별시 영등포구 신길동","3**","8m미만","18.02","월세","202510","30","2,000","55","2018","가마산로61길","202510~202710","신규","-","","","단독다가구"
"57","서울특별시 영등포구 신길동","6**","12m미만","16.44","월세","202510","30","3,000","60","2017","가마산로90길","202512~202712","신규","-","","","단독다가구"
"58","서울특별시 영등포구 신길동","8*","8m미만","222.21","월세","202510","30","1,500","70","1989","여의대방로47나길","202511~202710","신규","-","","","단독다가구"
"59","서울특별시 영등포구 영등포동6가","6*","8m미만","21.84","월세","202510","30","1,000","60","2015","영신로38길","202510~202711","신규","-","","","단독다가구"
"60","서울특별시 영등포구 대림동","8**","8m미만","20.00","월세","202510","30","1,000","50","2018","디지털로64길","202510~202710","신규","-","","","단독다가구"
"61","서울특별시 영등포구 신길동","6**","12m미만","16.44","월세","202510","30","3,000","60","2017","가마산로90길","202512~202712","신규","-","","","단독다가구"
"62","서울특별시 영등포구 당산동4가","6*","12m미만","20.54","월세","202510","30","1,000","55","1985","당산로37길","202511~202711","신규","-","","","단독다가구"
"63","서울특별시 영등포구 대림동","1***","8m미만","16.00","월세","202510","29","500","40","1992","디지털로38길","202510~202710","신규","-","","","단독다가구"
"64","서울특별시 영등포구 대림동","9**","8m미만","41.60","월세","202510","29","500","40","1993","디지털로77길","202511~202711","신규","-","","","단독다가구"
"65","서울특별시 영등포구 대림동","9**","8m미만","20.17","월세","202510","29","500","40","1991","디지털로73길","202511~202711","신규","-","","","단독다가구"
"66","서울특별시 영등포구 대림동","7**","12m미만","26.00","월세","202510","29","500","55","2017","대림로27나길","202511~202711","신규","-","","","단독다가구"
"67","서울특별시 영등포구 대림동","8**","8m미만","33.00","월세","202510","28","500","45","1988","도림로50길","202511~202711","신규","-","","","단독다가구"
"68","서울특별시 영등포구 신길동","4***","8m미만","18.00","월세","202510","28","500","31","2017","신풍로22길","202511~202611","신규","-","","","단독다가구"
"69","서울특별시 영등포구 신길동","3**","25m이상","21.02","월세","202510","28","1,000","50","1988","도림로","202510~202710","신규","-","","","단독다가구"
"70","서울특별시 영등포구 신길동","1**","8m미만","60.00","월세","202510","27","2,000","80","1991","신길로60길","202510~202710","신규","-","","","단독다가구"
"71","서울특별시 영등포구 당산동1가","3**","8m미만","25.00","월세","202510","27","500","55","1993","당산로18길","202511~202711","신규","-","","","단독다가구"
"72","서울특별시 영등포구 당산동1가","3**","8m미만","54.21","월세","202510","27","3,000","80","1992","당산로18길","202511~202711","신규","-","","","단독다가구"
"73","서울특별시 영등포구 대림동","9**","8m미만","13.22","월세","202510","27","500","50","2014","디지털로","202511~202711","신규","-","","","단독다가구"
"74","서울특별시 영등포구 대림동","8**","8m미만","25.00","월세","202510","27","500","45","1988","대림로10길","202510~202710","신규","-","","","단독다가구"
"75","서울특별시 영등포구 대림동","8**","8m미만","13.20","월세","202510","27","800","9","1993","디지털로71길","202510~202710","신규","-","","","단독다가구"
"76","서울특별시 영등포구 대림동","1***","8m미만","48.74","월세","202510","27","500","38","1992","도림천로11길","202510~202710","신규","-","","","단독다가구"
"77","서울특별시 영등포구 당산동6가","1**","8m미만","15.00","월세","202510","27","500","40","2007","당산로52길","202511~202711","신규","-","","","단독다가구"
"78","서울특별시 영등포구 당산동6가","1**","8m미만","25.00","월세","202510","27","500","40","1993","당산로52길","202510~202710","신규","-","","","단독다가구"
"79","서울특별시 영등포구 신길동","1***","8m미만","15.00","월세","202510","27","1,000","37","","신풍로25가길","202511~202711","신규","-","","","단독다가구"
"80","서울특별시 영등포구 신길동","9*","12m미만","212.49","월세","202510","27","1,000","50","1992","영등포로80길","202511~202711","신규","-","","","단독다가구"
"81","서울특별시 영등포구 신길동","2**","12m미만","31.00","월세","202510","27","2,000","45","1990","가마산로71길","202511~202711","신규","-","","","단독다가구"
"82","서울특별시 영등포구 대림동","8**","8m미만","15.00","월세","202510","26","700","60","1995","대림로29길","202510~202710","신규","-","","","단독다가구"
"83","서울특별시 영등포구 영등포동","6**","12m미만","18.25","월세","202510","26","1,000","57","2019","영신로13길","202510~202710","신규","-","","","단독다가구"
"84","서울특별시 영등포구 신길동","3***","8m미만","13.00","월세","202510","26","500","39","2014","신풍로","202511~202610","신규","-","","","단독다가구"
"85","서울특별시 영등포구 대림동","1***","8m미만","50.00","월세","202510","26","500","55","","대림로7가길","202510~202710","신규","-","","","단독다가구"
"86","서울특별시 영등포구 대림동","1***","8m미만","20.00","월세","202510","26","500","32","2010","디지털로","202510~202710","신규","-","","","단독다가구"
"87","서울특별시 영등포구 대림동","9**","25m미만","18.17","월세","202510","26","2,000","45","2017","디지털로70길","202511~202611","신규","-","","","단독다가구"
"88","서울특별시 영등포구 도림동","1**","12m미만","20.00","월세","202510","25","1,000","45","2017","도림로112길","202511~202611","신규","-","","","단독다가구"
"89","서울특별시 영등포구 대림동","9**","12m미만","21.00","월세","202510","25","1,000","60","2018","시흥대로187길","202511~202611","신규","-","","","단독다가구"
"90","서울특별시 영등포구 대림동","9**","8m미만","41.97","월세","202510","24","500","40","1993","시흥대로183길","202511~202711","신규","-","","","단독다가구"
"91","서울특별시 영등포구 대림동","8**","8m미만","57.79","월세","202510","24","2,000","85","1991","대림로17길","202510~202710","신규","-","","","단독다가구"
"92","서울특별시 영등포구 신길동","6**","12m미만","28.00","월세","202510","24","1,000","45","1986","여의대방로31길","202511~202711","신규","-","","","단독다가구"
"93","서울특별시 영등포구 대림동","8**","8m미만","17.00","월세","202510","24","1,500","32","2017","도림로54길","202511~202711","신규","-","","","단독다가구"
"94","서울특별시 영등포구 대림동","1***","12m미만","52.56","월세","202510","24","1,000","60","1975","디지털로37나길","202511~202710","신규","-","","","단독다가구"
"95","서울특별시 영등포구 대림동","1***","8m미만","73.45","월세","202510","24","500","65","1991","디지털로41길","202511~202711","신규","-","","","단독다가구"
"96","서울특별시 영등포구 당산동1가","1**","12m미만","40.00","월세","202510","23","1,000","65","1999","영등포로27길","202511~202711","신규","-","","","단독다가구"
"97","서울특별시 영등포구 도림동","1**","8m미만","16.50","월세","202510","22","500","50","2012","도신로29사길","202511~202710","신규","-","","","단독다가구"
"98","서울특별시 영등포구 도림동","2**","8m미만","39.60","월세","202510","22","500","45","1992","도신로15가길","202511~202711","신규","-","","","단독다가구"
"99","서울특별시 영등포구 신길동","6*","8m미만","46.28","월세","202510","22","1,000","65","1995","영등포로79길","202511~202711","신규","-","","","단독다가구"
"100","서울특별시 영등포구 대림동","7**","25m미만","47.31","월세","202510","22","500","50","1986","도림로47길","202510~202710","신규","-","","","단독다가구"
"101","서울특별시 영등포구 대림동","1***","8m미만","20.00","월세","202510","21","500","55","","디지털로49길","202510~202710","신규","-","","","단독다가구"
"102","서울특별시 영등포구 대림동","1***","8m미만","237.40","월세","202510","21","500","55","1986","디지털로49길","202510~202710","신규","-","","","단독다가구"
"103","서울특별시 영등포구 대림동","7**","25m이상","25.00","월세","202510","21","500","75","2014","도림로48길","202510~202710","신규","-","","","단독다가구"
"104","서울특별시 영등포구 대림동","9**","8m미만","33.00","월세","202510","21","500","35","1990","신길로15나길","202510~202710","신규","-","","","단독다가구"
"105","서울특별시 영등포구 대림동","9**","8m미만","67.70","월세","202510","21","1,500","55","1971","대림로","202510~202710","신규","-","","","단독다가구"
"106","서울특별시 영등포구 대림동","9**","8m미만","33.00","월세","202510","21","500","35","1990","신길로15나길","202510~202710","신규","-","","","단독다가구"
"107","서울특별시 영등포구 도림동","2**","8m미만","36.36","월세","202510","21","1,000","50","1992","도신로19길","202511~202711","신규","-","","","단독다가구"
"108","서울특별시 영등포구 대림동","1***","8m미만","23.00","월세","202510","21","500","40","1991","디지털로53길","202511~202711","신규","-","","","단독다가구"
"109","서울특별시 영등포구 대림동","9**","8m미만","25.00","월세","202510","21","500","32","1994","시흥대로181길","202510~202710","신규","-","","","단독다가구"
"110","서울특별시 영등포구 대림동","1***","8m미만","33.00","월세","202510","21","500","65","1990","디지털로49길","202510~202710","신규","-","","","단독다가구"
"111","서울특별시 영등포구 당산동6가","1**","8m미만","19.56","월세","202510","20","1,000","50","1991","당산로52길","202510~202710","신규","-","","","단독다가구"
"112","서울특별시 영등포구 신길동","3***","8m미만","21.00","월세","202510","20","1,000","50","2012","신풍로12가길","202511~202711","신규","-","","","단독다가구"
"113","서울특별시 영등포구 신길동","2**","8m미만","54.60","월세","202510","20","2,000","65","1997","도신로40길","202512~202712","신규","-","","","단독다가구"
"114","서울특별시 영등포구 신길동","2**","8m미만","24.85","월세","202510","20","500","60","2017","도신로","202511~202611","신규","-","","","단독다가구"
"115","서울특별시 영등포구 신길동","9**","8m미만","58.84","전세","202510","20","3,000","0","1981","여의대방로47가길","202511~202611","신규","-","","","단독다가구"
"116","서울특별시 영등포구 신길동","1**","8m미만","23.14","월세","202510","20","1,000","50","1991","도신로","202511~202711","신규","-","","","단독다가구"
"117","서울특별시 영등포구 대림동","9**","8m미만","31.11","월세","202510","20","500","35","1993","시흥대로177길","202510~202610","신규","-","","","단독다가구"
"118","서울특별시 영등포구 도림동","1**","8m미만","47.37","월세","202510","20","1,000","65","1992","도림로113길","202601~202801","신규","-","","","단독다가구"
"119","서울특별시 영등포구 양평동2가","3*","8m미만","30.00","월세","202510","20","1,000","40","1997","선유서로25길","202510~202607","신규","-","","","단독다가구"
"120","서울특별시 영등포구 대림동","7**","8m미만","18.80","월세","202510","19","500","35","1989","도림로50길","202511~202711","신규","-","","","단독다가구"
"121","서울특별시 영등포구 대림동","7**","8m미만","35.00","월세","202510","19","3,000","35","1993","도림로57길","202510~202710","신규","-","","","단독다가구"
"122","서울특별시 영등포구 신길동","1**","8m미만","52.80","월세","202510","19","3,000","70","1989","도신로48길","202511~202711","신규","-","","","단독다가구"
"123","서울특별시 영등포구 당산동4가","*","12m미만","23.56","월세","202510","19","3,000","70","2016","국회대로37길","202512~202612","신규","-","","","단독다가구"
"124","서울특별시 영등포구 대림동","7**","8m미만","40.00","월세","202510","18","2,500","40","1997","도림로47나길","202511~202711","신규","-","","","단독다가구"
"125","서울특별시 영등포구 신길동","2**","12m미만","39.29","월세","202510","18","1,000","65","1967","가마산로71길","202511~202711","신규","-","","","단독다가구"
"126","서울특별시 영등포구 대림동","1***","8m미만","30.00","월세","202510","18","1,000","65","2016","대림로7가길","202510~202710","신규","-","","","단독다가구"
"127","서울특별시 영등포구 신길동","1***","8m미만","39.00","월세","202510","18","2,500","55","1991","여의대방로35길","202511~202711","신규","-","","","단독다가구"
"128","서울특별시 영등포구 대림동","7**","8m미만","30.00","월세","202510","17","3,000","50","1989","도림로55길","202512~202712","신규","-","","","단독다가구"
"129","서울특별시 영등포구 영등포동","6**","12m미만","20.00","월세","202510","17","1,000","45","1993","영신로9나길","202510~202710","신규","-","","","단독다가구"
"130","서울특별시 영등포구 문래동3가","8*","12m미만","20.80","월세","202510","17","1,000","55","2015","영등포로20길","202511~202711","신규","-","","","단독다가구"
"131","서울특별시 영등포구 신길동","9*","8m미만","124.67","월세","202510","17","1,000","55","1992","도신로64가길","202511~202711","신규","-","","","단독다가구"
"132","서울특별시 영등포구 신길동","4**","12m미만","23.00","월세","202510","17","500","55","1997","대방천로","202510~202710","신규","-","","","단독다가구"
"133","서울특별시 영등포구 도림동","8*","8m미만","18.02","월세","202510","17","3,000","50","2018","도신로29다길","202511~202711","신규","-","","","단독다가구"
"134","서울특별시 영등포구 당산동3가","1**","8m미만","20.00","월세","202510","17","500","40","1990","국회대로36길","202511~202711","신규","-","","","단독다가구"
"135","서울특별시 영등포구 대림동","9**","8m미만","20.33","월세","202510","17","1,000","40","2017","신길로15가길","202510~202710","신규","-","","","단독다가구"
"136","서울특별시 영등포구 대림동","7**","8m미만","16.56","월세","202510","16","500","50","2010","도림로48길","202510~202610","신규","-","","","단독다가구"
"137","서울특별시 영등포구 도림동","1**","8m미만","39.00","월세","202510","16","500","40","1996","도림로108나길","202510~202710","신규","-","","","단독다가구"
"138","서울특별시 영등포구 신길동","3**","8m미만","40.00","월세","202510","16","1,500","35","1991","도림로89길","202510~202710","신규","-","","","단독다가구"
"139","서울특별시 영등포구 신길동","4***","8m미만","21.00","월세","202510","16","2,000","18","1985","가마산로77길","202510~202710","신규","-","","","단독다가구"
"140","서울특별시 영등포구 영등포동6가","2*","25m미만","29.35","월세","202510","16","500","70","2007","양산로","202510~202710","신규","-","","","단독다가구"
"141","서울특별시 영등포구 신길동","1**","8m미만","30.00","전세","202510","16","3,000","0","1992","신길로60길","202510~202710","신규","-","","","단독다가구"
"142","서울특별시 영등포구 대림동","8**","8m미만","18.00","월세","202510","16","500","35","1984","디지털로64길","202510~202710","신규","-","","","단독다가구"
"143","서울특별시 영등포구 신길동","1**","8m미만","230.64","월세","202510","16","1,000","40","1993","도신로54길","202511~202711","신규","-","","","단독다가구"
"144","서울특별시 영등포구 신길동","4***","8m미만","42.00","월세","202510","16","3,000","35","1990","여의대방로15길","202510~202710","신규","-","","","단독다가구"
"145","서울특별시 영등포구 양평동1가","1**","8m미만","70.49","월세","202510","15","500","15","1994","선유로23길","202510~202610","신규","-","","","단독다가구"
"146","서울특별시 영등포구 대림동","7**","12m미만","49.58","월세","202510","15","500","35","1988","대림로31가길","202510~202710","신규","-","","","단독다가구"
"147","서울특별시 영등포구 대림동","9**","12m미만","20.00","월세","202510","15","500","40","2017","디지털로70길","202510~202610","신규","-","","","단독다가구"
"148","서울특별시 영등포구 신길동","1**","8m미만","40.00","월세","202510","15","1,000","60","1996","신길로60바길","202510~202710","신규","-","","","단독다가구"
"149","서울특별시 영등포구 신길동","3***","8m미만","18.00","월세","202510","15","500","30","1989","신풍로10길","202510~202710","신규","-","","","단독다가구"
"150","서울특별시 영등포구 신길동","3**","8m미만","28.00","월세","202510","15","500","25","1993","도림로96길","202510~202710","신규","-","","","단독다가구"
"151","서울특별시 영등포구 당산동6가","1**","8m미만","24.00","월세","202510","15","1,000","50","2007","당산로52길","202510~202710","신규","-","","","단독다가구"
"152","서울특별시 영등포구 양평동1가","*","8m미만","20.11","월세","202510","15","3,000","61","2020","선유로","202510~202710","신규","-","","","단독다가구"
"153","서울특별시 영등포구 대림동","1***","8m미만","17.00","월세","202510","14","500","45","2012","디지털로40길","202511~202711","신규","-","","","단독다가구"
"154","서울특별시 영등포구 신길동","2**","8m미만","30.30","월세","202510","14","3,000","30","1990","신길로40길","202510~202710","신규","-","","","단독다가구"
"155","서울특별시 영등포구 신길동","4***","8m미만","45.00","월세","202510","14","3,000","40","1993","여의대방로17길","202512~202712","신규","-","","","단독다가구"
"156","서울특별시 영등포구 대림동","6**","8m미만","20.00","월세","202510","14","500","55","1975","도신로8가길","202510~202710","신규","-","","","단독다가구"
"157","서울특별시 영등포구 도림동","*","8m미만","18.02","월세","202510","14","1,000","50","1981","도신로39가길","202510~202710","신규","-","","","단독다가구"
"158","서울특별시 영등포구 당산동6가","1**","8m미만","39.52","월세","202510","13","2,000","80","1993","당산로50길","202511~202710","신규","-","","","단독다가구"
"159","서울특별시 영등포구 대림동","1***","8m미만","16.50","월세","202510","13","500","48","2018","대림로7가길","202510~202710","신규","-","","","단독다가구"
"160","서울특별시 영등포구 대림동","8**","25m미만","21.00","월세","202510","13","500","50","2020","대림로","202510~202610","신규","-","","","단독다가구"
"161","서울특별시 영등포구 도림동","8*","8m미만","16.50","월세","202510","13","500","30","2012","도신로29다길","202510~202610","신규","-","","","단독다가구"
"162","서울특별시 영등포구 신길동","1**","8m미만","30.00","월세","202510","13","1,000","60","1997","도신로47가길","202510~202710","신규","-","","","단독다가구"
"163","서울특별시 영등포구 신길동","1*","8m미만","126.63","월세","202510","12","1,000","65","1993","여의대방로61길","202511~202711","신규","-","","","단독다가구"
"164","서울특별시 영등포구 영등포동","6**","25m이상","23.92","월세","202510","12","500","40","1988","영신로","202510~202710","신규","-","","","단독다가구"
"165","서울특별시 영등포구 신길동","3**","8m미만","32.10","월세","202510","12","500","38","1992","도림로87길","202510~202710","신규","-","","","단독다가구"
"166","서울특별시 영등포구 영등포동","6**","8m미만","18.00","월세","202510","12","700","47","2018","영신로9나길","202510~202610","신규","-","","","단독다가구"
"167","서울특별시 영등포구 신길동","3**","25m이상","21.02","월세","202510","12","1,000","50","1988","도림로","202510~202710","신규","-","","","단독다가구"
"168","서울특별시 영등포구 신길동","9*","8m미만","219.52","월세","202510","12","2,000","55","2012","도신로64길","202511~202711","신규","-","","","단독다가구"
"169","서울특별시 영등포구 도림동","2**","8m미만","36.36","월세","202510","12","1,000","50","1993","도신로15나길","202510~202710","신규","-","","","단독다가구"
"170","서울특별시 영등포구 대림동","1***","8m미만","20.00","월세","202510","11","500","45","1975","도림로40길","202510~202710","신규","-","","","단독다가구"
"171","서울특별시 영등포구 당산동1가","2**","8m미만","15.00","월세","202510","11","1,000","50","2016","당산로12길","202510~202710","신규","-","","","단독다가구"
"172","서울특별시 영등포구 대림동","7**","8m미만","21.00","월세","202510","11","1,000","48","2017","도림로55길","202510~202710","신규","-","","","단독다가구"
"173","서울특별시 영등포구 대림동","6**","8m미만","72.60","월세","202510","11","3,000","60","1985","가마산로48길","202510~202710","신규","-","","","단독다가구"
"174","서울특별시 영등포구 양평동4가","3**","8m미만","11.00","월세","202510","11","500","30","2016","선유로55길","202510~202610","신규","-","","","단독다가구"
"175","서울특별시 영등포구 당산동1가","4**","8m미만","57.57","월세","202510","11","2,000","80","1994","당산로16길","202511~202711","신규","-","","","단독다가구"
